fold,model,scenario,k,status,train_expected_risk,cutpoints,weeks,counts,repeat,scale,effective_groups,merged_cuts,merged_weeks,merged_counts,fraction_at_25,mean_week
0,q2,low_delay,4,bootstrap_conditional,0.198144487406574,"[28.60860758525625, 29.35954207201715, 33.5885526]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[26, 25, 152, 64]",9,1.0,2,[33.5885526],"[12.857142857142858, 25.0]","[203, 64]",0.2397003745318352,15.767790262172285
0,q2,medium_delay,4,bootstrap_conditional,0.2271222011411338,"[29.26591345677795, 33.75308582329245, 34.6456217064828]","[11.0, 11.0, 11.428571428571429, 12.857142857142858]","[47, 160, 25, 35]",9,1.0,3,"[33.75308582329245, 34.6456217064828]","[11.0, 11.428571428571429, 12.857142857142858]","[207, 25, 35]",0.0,11.283574103798824
0,q2,high_delay,4,bootstrap_conditional,0.2276134026134812,"[29.35954207201715, 30.4015372572209, 31.5045234250675]","[11.0, 11.0, 11.0, 11.0]","[51, 50, 39, 127]",9,1.0,1,[],[11.0],[267],0.0,11.0
0,q3_basic,step_only,4,bootstrap_conditional,0.1587924315279089,"[29.37857702, 30.2798105797449, 30.761083097004153]","[12.857142857142858, 25.0, 12.857142857142858, 25.0]","[53, 43, 26, 145]",9,1.0,4,"[29.37857702, 30.2798105797449, 30.761083097004153]","[12.857142857142858, 25.0, 12.857142857142858, 25.0]","[53, 43, 26, 145]",0.704119850187266,21.4071696094168
0,q3_basic,low_delay,4,bootstrap_conditional,0.1975453295890206,"[28.938497648086297, 30.132707290972853, 33.5885526]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[32, 58, 113, 64]",9,1.0,2,[33.5885526],"[12.857142857142858, 25.0]","[203, 64]",0.2397003745318352,15.767790262172285
0,q3_basic,medium_delay,4,bootstrap_conditional,0.2284395654394092,"[29.37857702, 31.835775192944702, 33.5885526]","[11.0, 11.0, 11.0, 12.857142857142858]","[53, 96, 54, 64]",9,1.0,2,[33.5885526],"[11.0, 12.857142857142858]","[203, 64]",0.0,11.445157838416266
0,q3_basic,high_delay,4,bootstrap_conditional,0.2291730550769893,"[29.26591345677795, 29.975810298022402, 32.1885791644288]","[11.0, 11.0, 11.0, 11.0]","[47, 30, 86, 104]",9,1.0,1,[],[11.0],[267],0.0,11.0
0,q2,step_only,4,bootstrap_conditional,0.1654193626583598,"[28.60860758525625, 29.35954207201715, 29.92762346]","[12.857142857142858, 12.857142857142858, 25.0, 25.0]","[26, 25, 25, 191]",9,1.5,2,[29.35954207201715],"[12.857142857142858, 25.0]","[51, 216]",0.8089887640449438,22.680577849117178
0,q2,low_delay,4,bootstrap_conditional,0.2025330379398293,"[28.60860758525625, 29.35954207201715, 33.91226361784895]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[26, 25, 163, 53]",9,1.5,2,[33.91226361784895],"[12.857142857142858, 25.0]","[214, 53]",0.19850187265917604,15.267522739432852
0,q2,medium_delay,4,bootstrap_conditional,0.2291936017902711,"[29.26591345677795, 29.75646442, 35.43452652765335]","[11.0, 11.0, 11.0, 12.857142857142858]","[47, 25, 166, 29]",9,1.5,2,[35.43452652765335],"[11.0, 12.857142857142858]","[238, 29]",0.0,11.20171214553237
0,q2,high_delay,4,bootstrap_conditional,0.2294343347431822,"[29.26591345677795, 29.75646442, 30.456294565]","[11.0, 11.0, 11.0, 11.0]","[47, 25, 34, 161]",9,1.5,1,[],[11.0],[267],0.0,11.0
0,q3_basic,step_only,4,bootstrap_conditional,0.1645683109298988,"[29.37857702, 30.2798105797449, 30.761083097004153]","[12.857142857142858, 25.0, 12.857142857142858, 25.0]","[53, 43, 26, 145]",9,1.5,4,"[29.37857702, 30.2798105797449, 30.761083097004153]","[12.857142857142858, 25.0, 12.857142857142858, 25.0]","[53, 43, 26, 145]",0.704119850187266,21.4071696094168
0,q3_basic,low_delay,4,bootstrap_conditional,0.2021680950952035,"[28.821843131379502, 30.11360183, 33.5885526]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[30, 58, 115, 64]",9,1.5,2,[33.5885526],"[12.857142857142858, 25.0]","[203, 64]",0.2397003745318352,15.767790262172285
0,q3_basic,medium_delay,4,bootstrap_conditional,0.2304752236123585,"[29.26591345677795, 33.71727917055455, 35.2208681140727]","[11.0, 11.0, 11.428571428571429, 12.857142857142858]","[47, 157, 32, 31]",9,1.5,3,"[33.71727917055455, 35.2208681140727]","[11.0, 11.428571428571429, 12.857142857142858]","[204, 32, 31]",0.0,11.266987693953986
0,q3_basic,high_delay,4,bootstrap_conditional,0.2308021142351501,"[29.26591345677795, 30.2798105797449, 30.75052001013085]","[11.0, 11.0, 11.0, 11.0]","[47, 49, 25, 146]",9,1.5,1,[],[11.0],[267],0.0,11.0
0,q2,step_only,4,bootstrap_conditional,0.1495672924098884,"[28.56652825177255, 29.20491842677795, 30.44797393]","[25.0, 25.0, 25.0, 25.0]","[26, 30, 56, 155]",10,0.0,1,[],[25.0],[267],1.0,25.0
0,q2,low_delay,4,bootstrap_conditional,0.2193521169291375,"[28.56652825177255, 29.20491842677795, 30.44797393]","[12.857142857142858, 25.0, 25.0, 25.0]","[26, 30, 56, 155]",10,0.0,2,[28.56652825177255],"[12.857142857142858, 25.0]","[26, 241]",0.9026217228464419,23.817549491706796
