fold,model,scenario,k,status,train_expected_risk,heldout_expected_risk,heldout_subjects,heldout_outside_bmi_range,cutpoints,weeks,counts
3,q3_basic,low_delay,4,model_dependent,0.18118680032263637,0.17961412419886952,53,0,"[29.09474287967005, 30.7981037518733, 35.55795257478585]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 24.857142857142858]","[29, 64, 95, 26]"
3,q3_basic,medium_delay,1,model_dependent,0.20644874378614445,0.20124711332156087,53,0,[],[11.0],[214]
3,q3_basic,medium_delay,3,model_dependent,0.20599400982179103,0.2010916199707518,53,0,"[29.130029079670052, 35.55795257478585]","[11.0, 11.0, 12.857142857142858]","[30, 158, 26]"
3,q3_basic,medium_delay,4,model_dependent,0.20599400982179103,0.2010916199707518,53,0,"[29.130029079670052, 30.2798105797449, 35.55795257478585]","[11.0, 11.0, 11.0, 12.857142857142858]","[30, 40, 118, 26]"
3,q3_basic,high_delay,1,model_dependent,0.20644874378614445,0.20124711332156087,53,0,[],[11.0],[214]
3,q3_basic,high_delay,3,model_dependent,0.20644874378614445,0.20124711332156087,53,0,"[29.130029079670052, 30.2798105797449]","[11.0, 11.0, 11.0]","[30, 40, 144]"
3,q3_basic,high_delay,4,model_dependent,0.20644874378614445,0.20124711332156087,53,0,"[29.130029079670052, 30.2798105797449, 31.247618505]","[11.0, 11.0, 11.0, 11.0]","[30, 40, 33, 111]"
3,q3_full,step_only,1,model_dependent,0.15155379130475458,0.14970838036670753,53,0,[],[25.0],[214]
3,q3_full,step_only,3,model_dependent,0.14882020430108422,0.15051493436296545,53,0,"[29.35954207201715, 30.46963577]","[12.857142857142858, 25.0, 25.0]","[37, 43, 134]"
3,q3_full,step_only,4,model_dependent,0.14817142537364847,0.15013092128999914,53,0,"[29.35954207201715, 30.3483792711496, 31.145124715]","[12.857142857142858, 24.857142857142858, 12.857142857142858, 25.0]","[37, 35, 26, 116]"
3,q3_full,low_delay,1,model_dependent,0.1848016251122571,0.18160059352291646,53,0,[],[12.857142857142858],[214]
3,q3_full,low_delay,3,model_dependent,0.18065464449389212,0.1806170897277785,53,0,"[28.95839341789075, 35.55795257478585]","[12.857142857142858, 12.857142857142858, 24.857142857142858]","[26, 162, 26]"
3,q3_full,low_delay,4,model_dependent,0.18065464449389207,0.1806170897277785,53,0,"[29.35954207201715, 30.48501834, 35.55795257478585]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 24.857142857142858]","[37, 48, 103, 26]"
3,q3_full,medium_delay,1,model_dependent,0.20487347834704772,0.2015122590062297,53,0,[],[11.0],[214]
3,q3_full,medium_delay,3,model_dependent,0.20450211490788064,0.2013902444884362,53,0,"[29.130029079670052, 35.55795257478585]","[11.0, 11.0, 12.857142857142858]","[30, 158, 26]"
3,q3_full,medium_delay,4,model_dependent,0.2045021149078806,0.2013902444884362,53,0,"[29.43062944343895, 30.521331102512548, 35.55795257478585]","[11.0, 11.0, 11.0, 12.857142857142858]","[41, 45, 102, 26]"
3,q3_full,high_delay,1,model_dependent,0.20487347834704772,0.2015122590062297,53,0,[],[11.0],[214]
3,q3_full,high_delay,3,model_dependent,0.2048734783470477,0.2015122590062297,53,0,"[29.43062944343895, 30.521331102512548]","[11.0, 11.0, 11.0]","[41, 45, 128]"
3,q3_full,high_delay,4,model_dependent,0.2048734783470477,0.2015122590062297,53,0,"[29.43062944343895, 30.521331102512548, 32.46810561226445]","[11.0, 11.0, 11.0, 11.0]","[41, 45, 50, 78]"
4,q2,step_only,1,model_dependent,0.15923312937805736,0.1589012544769743,53,0,[],[25.0],[214]
