fold,model,scenario,k,status,train_expected_risk,heldout_expected_risk,heldout_subjects,heldout_outside_bmi_range,cutpoints,weeks,counts,effective_groups,merged_cutpoints,merged_weeks,merged_counts,boundary_groups
3,q2,step_only,3,model_dependent,0.1503253038579963,0.1460082711183255,53,0,"[29.55072956140705, 30.48501834]","[12.857142857142858, 25.0, 25.0]","[44, 41, 129]",2,[29.55072956140705],"[12.857142857142858, 25.0]","[44, 170]",1
3,q2,step_only,4,model_dependent,0.1503253038579963,0.1460082711183255,53,0,"[29.55072956140705, 30.48501834, 32.5165379383577]","[12.857142857142858, 25.0, 25.0, 25.0]","[44, 41, 52, 77]",2,[29.55072956140705],"[12.857142857142858, 25.0]","[44, 170]",1
3,q2,low_delay,1,model_dependent,0.1856733099673843,0.1758343468515767,53,0,[],[12.857142857142858],[214],1,[],[12.857142857142858],[214],0
3,q2,low_delay,3,model_dependent,0.1825682841214393,0.1757794526542083,53,0,"[29.130029079670052, 34.930506245000004]","[12.857142857142858, 12.857142857142858, 25.0]","[30, 153, 31]",2,[34.930506245000004],"[12.857142857142858, 25.0]","[183, 31]",1
3,q2,low_delay,4,model_dependent,0.1825682841214393,0.1757794526542083,53,0,"[28.95839341789075, 29.858344816033252, 34.930506245000004]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[26, 30, 127, 31]",2,[34.930506245000004],"[12.857142857142858, 25.0]","[183, 31]",1
3,q2,medium_delay,1,model_dependent,0.2058616527540155,0.1953522715160277,53,0,[],[11.0],[214],1,[],[11.0],[214],1
3,q2,medium_delay,3,model_dependent,0.2056634974571716,0.1953339626523682,53,0,"[29.130029079670052, 35.5839735271325]","[11.0, 11.0, 12.857142857142858]","[30, 159, 25]",2,[35.5839735271325],"[11.0, 12.857142857142858]","[189, 25]",1
3,q2,medium_delay,4,model_dependent,0.2056634974571716,0.1953339626523682,53,0,"[29.130029079670052, 30.2798105797449, 35.5839735271325]","[11.0, 11.0, 11.0, 12.857142857142858]","[30, 40, 119, 25]",2,[35.5839735271325],"[11.0, 12.857142857142858]","[189, 25]",1
3,q2,high_delay,1,model_dependent,0.2058616527540155,0.1953522715160277,53,0,[],[11.0],[214],1,[],[11.0],[214],1
3,q2,high_delay,3,model_dependent,0.2058616527540155,0.1953522715160277,53,0,"[29.130029079670052, 30.2798105797449]","[11.0, 11.0, 11.0]","[30, 40, 144]",1,[],[11.0],[214],1
3,q2,high_delay,4,model_dependent,0.2058616527540155,0.1953522715160277,53,0,"[29.130029079670052, 30.2798105797449, 31.247618505]","[11.0, 11.0, 11.0, 11.0]","[30, 40, 33, 111]",1,[],[11.0],[214],1
3,q3_basic,step_only,1,model_dependent,0.1514681140987774,0.1488022103874957,53,0,[],[25.0],[214],1,[],[25.0],[214],1
3,q3_basic,step_only,3,model_dependent,0.1499083763633283,0.1483162726545926,53,0,"[29.35954207201715, 30.435518495]","[12.857142857142858, 25.0, 25.0]","[37, 40, 137]",2,[29.35954207201715],"[12.857142857142858, 25.0]","[37, 177]",1
3,q3_basic,step_only,4,model_dependent,0.1497357179906062,0.1475158712321674,53,0,"[29.35954207201715, 30.2798105797449, 31.145124715]","[12.857142857142858, 24.857142857142858, 12.857142857142858, 25.0]","[37, 33, 28, 116]",4,"[29.35954207201715, 30.2798105797449, 31.145124715]","[12.857142857142858, 24.857142857142858, 12.857142857142858, 25.0]","[37, 33, 28, 116]",1
3,q3_basic,low_delay,1,model_dependent,0.185934455581079,0.1810176568857892,53,0,[],[12.857142857142858],[214],1,[],[12.857142857142858],[214],0
3,q3_basic,low_delay,3,model_dependent,0.1811868003226363,0.1796141241988695,53,0,"[28.95839341789075, 35.55795257478585]","[12.857142857142858, 12.857142857142858, 24.857142857142858]","[26, 162, 26]",2,[35.55795257478585],"[12.857142857142858, 24.857142857142858]","[188, 26]",0
3,q3_basic,low_delay,4,model_dependent,0.1811868003226363,0.1796141241988695,53,0,"[29.09474287967005, 30.7981037518733, 35.55795257478585]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 24.857142857142858]","[29, 64, 95, 26]",2,[35.55795257478585],"[12.857142857142858, 24.857142857142858]","[188, 26]",0
